cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63538;***GARRAFA TERMICA GT COLORS 350ML AZ CL 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;64512;***MOUSE S FIO GT COMPACT 3 PRETO;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;26365;***CXS USB GT 6W RMS SOUND PRETA AZUL;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;65242;***LIMPADOR DE TELAS  120ML;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;66417;***SSD 240GB GOLDENTEC SATA;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;54812;***MOUSE GT OPTICO 1200 PRETO;;;
7272825005335;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;50912;SSD 120GB GOLDENTEC SATA;1035610;SSD 120GB GOLDENTEC SATA BULK;1035610
7342785000553;SODINE - SOC. DIST. DO NE LTDA;2450;ESPIRAL 12 MM 070 FLS PCT 100 UN PRETO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;2288;COLA ISOPOR POLAR C/90GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;2283;COLA ISOPOR POLAR C/40GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;9144;COLA ISOPOR KOALA C/40GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;1288;COLA ISOPOR KOALA C/90GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;58954;BOBINA TERMICA 57 X 15 AMARELA 48G;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;28952;BALAO SAO ROQUE NR.07 C/50UN BRANCO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;23909;BORRACHA CIS DADINHOS POTE C/24 UN;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;8431;MARCADOR QUADRO BRANCO REC.PILOT AZUL;1014175;REABASTECEDOR  P/ MARCADOR QUADRO BRANCO;1014175
7342785000553;SODINE - SOC. DIST. DO NE LTDA;58449;CAD.CALIGRAFIA C.DURA 40F PAUTA T.SA M.P;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;58452;CAD.CALIGRAFIA C.DURA 40FLS T.SARA M.P;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;54980;GRAMPEADOR PISTOLA 106/6/8 CORPO METAL;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;25612;TINTA MASTER EP BULK INK 664 100ML PRETA;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37743;TINTA MASTER EP BULK INK 664 100ML CYANO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37744;TINTA MASTER EP BULK INK 664 100ML MAGEN;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;44914;TINTA EPSON BULK 504/544 70ML CIANO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;44916;TINTA EPSON BULK 504/544 70ML AMARELO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;44913;TINTA EPSON BULK 504/544 127ML PRETO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;44915;TINTA EPSON BULK 504/544 70ML MAGENTA;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37745;TINTA MASTER EP BULK INK 664 100ML AMAR;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;28954;BALAO SAO ROQUE NR.07 C/50UN AZUL BABY;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;28960;BALAO SAO ROQUE NR.07 C/50UN VD MACA;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;19368;COLA GLITER 06 CORES X 25GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37386;COLA GLITTER TB 35GRS COR VERMELHO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;28702;EVA IBEL 40 X 95 C/10 UN LARANJA;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;51336;EVA PLACA GLITTER MAKE 40X48 OURO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37438;TINTA PLAST.ARTESANATO 37ML BRANCO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;37439;TINTA PLAST.ARTESANATO 37ML PRETO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;5217;TINTA TECIDO FOSCA 37ML COR BRANCA;1036869;TINTA TECIDO FOSCA 37ML ROSA;1036869
7342785000553;SODINE - SOC. DIST. DO NE LTDA;5432;TINTA TECIDO FOSCA 37ML COR PRETO;1036869;TINTA TECIDO FOSCA 37ML ROSA;1036869
7342785000553;SODINE - SOC. DIST. DO NE LTDA;48307;FITA DEMARCACAO AREA 70 X 200M ZEBRADA;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;932;PAPEL REPORT BRANCO A-4 C/500FLS 75GRS;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;1698;PAPEL ESCOLAR 40 KG A-4 C/200 FLS BRANCO;;;
7342785000553;SODINE - SOC. DIST. DO NE LTDA;1700;PAPEL ESCOLAR 60 KG A-4 C/50 FLS BRANCO;1015260;PAPEL ESCOLAR 60 KG PCT C/50 AZUL;1015260
8976685000118;S O CONCI e CIA LTDA;5623;TOALHA LAVABO SUBLI AMARELO;;;
8976685000118;S O CONCI e CIA LTDA;5197;TOALHA LAVABO AVELUDADA PRETA;;;
8976685000118;S O CONCI e CIA LTDA;5182;TOALHA LAVABO SUBLI BRANCA;;;
8976685000118;S O CONCI e CIA LTDA;5177;TOALHA LAVABO SUBLI AZUL ESCURA;;;
8976685000118;S O CONCI e CIA LTDA;5172;TOALHA LAVABINHO SUBLI LARANJA;;;
8976685000118;S O CONCI e CIA LTDA;5168;TOALHA LAVABINHO SUBLI AZUL MEDIO;;;
8976685000118;S O CONCI e CIA LTDA;5167;TOALHA LAVABINHO SUBLI AZUL ESCURO;;;
8976685000118;S O CONCI e CIA LTDA;5160;TOALHA LAVABINHO SUBLI PINK;;;
8976685000118;S O CONCI e CIA LTDA;5159;TOALHA LAVABINHO SUBLI ROSA CLARO;;;
8976685000118;S O CONCI e CIA LTDA;5158;TOALHA LAVABINHO SUBLI VERDE CLARO;;;
8976685000118;S O CONCI e CIA LTDA;5171;TOALHA LAVABINHO SUBLI VERDE EXERCITO;;;
8976685000118;S O CONCI e CIA LTDA;5084;CAIXA CANECA TEMA  AMOR E O PRINCIPAL;;;
11369396000165;AQUARELA DISTRIBUIDORA E REPRESENTACAO LTDA;2713;TECIDO DRY PLUS 100% PES UV50 BRANCO;;;
11460665001176;FATTU DO BRASIL COMERCIO DE MATERIAIS DE;1591;POLIESTIRENO PSAI TRILAMINADO BCO (3X1.30)2.0;;;
14144435000203;L P G IMPORTACAO E COMERCIO LTDA;LPG0088;GARRA DE FIXACAO DE ILUMINACAO SIMPLES;;;
24073694000589;CIL   COMERCIO DE INFORMATICA LTDA;607151;Garrafa de Tinta Epson T544122 BR Preta 4.500 Paginas para EcoTank L3150 L3250 L3160 L3260 L3560 L5190 L5290 L5590;1037692;GARRAFA DE TINTA EPSON 504;1037692
